datetime,heartrate,duration
2022-03-17 00:47:57,132,2
2022-03-17 00:48:01,132,4
2022-03-17 00:48:03,132,8
2022-03-17 00:48:10,130,2
2022-03-17 00:48:15,129,4
2022-03-17 00:48:20,129,5
2022-03-17 00:48:21,130,1
2022-03-17 00:48:23,129,2
2022-03-17 00:48:26,129,3
2022-03-17 00:48:28,130,2
2022-03-17 00:48:31,130,2
2022-03-17 00:48:39,130,8
2022-03-17 00:48:41,129,2
2022-03-17 00:48:45,129,4
2022-03-17 00:48:46,130,1
2022-03-17 00:48:48,129,2
2022-03-17 00:48:52,128,8
2022-03-17 00:48:57,124,3
2022-03-17 00:48:59,124,6
2022-03-17 00:49:04,132,8
2022-03-17 00:49:06,127,7
2022-03-17 00:49:10,130,4
2022-03-17 00:49:12,129,2
2022-03-17 00:49:13,126,5
2022-03-17 00:49:17,126,6
2022-03-17 00:49:21,127,4
2022-03-17 00:49:22,127,3
2022-03-17 00:49:24,127,7
2022-03-17 00:49:27,128,3
2022-03-17 00:49:28,128,4
2022-03-17 00:49:31,127,2
2022-03-17 00:49:32,130,2
2022-03-17 00:49:33,129,5
2022-03-17 00:49:37,127,6
2022-03-17 00:49:42,128,9
2022-03-17 00:49:43,129,1
2022-03-17 00:49:45,126,4
2022-03-17 00:49:50,128,5
2022-03-17 00:49:51,127,2
2022-03-17 00:49:54,127,2
2022-03-17 00:49:55,128,1
2022-03-17 00:49:59,122,4
2022-03-17 00:50:00,125,5
2022-03-17 00:50:02,124,2
2022-03-17 00:50:03,125,1
2022-03-17 00:50:05,123,4
2022-03-17 00:50:08,122,5
2022-03-17 00:50:15,119,4
2022-03-17 00:50:16,119,1
2022-03-17 00:50:18,122,6
2022-03-17 00:50:25,129,3
2022-03-17 00:50:27,130,2
2022-03-17 00:50:31,135,8
2022-03-17 00:50:38,136,3
2022-03-17 00:50:40,137,2
2022-03-17 00:50:44,138,4
2022-03-17 00:50:47,137,6
2022-03-17 00:50:52,136,4
2022-03-17 00:50:57,137,3
2022-03-17 00:50:58,136,1
2022-03-17 00:51:00,137,2
2022-03-17 00:51:01,136,2
2022-03-17 00:51:04,135,2
2022-03-17 00:51:11,87,2
2022-03-17 00:51:17,88,5
2022-03-17 00:51:19,89,8
2022-03-17 00:51:30,93,5
2022-03-17 00:51:32,94,2
2022-03-17 00:51:36,97,4
2022-03-17 00:51:38,98,2
2022-03-17 00:51:39,100,2
2022-03-17 00:51:42,101,2
2022-03-17 00:51:45,100,3
2022-03-17 00:51:47,97,2
2022-03-17 00:51:51,93,8
2022-03-17 00:51:58,94,3
2022-03-17 00:52:00,93,4
2022-03-17 00:52:06,90,4
2022-03-17 00:52:08,92,6
2022-03-17 00:52:13,92,2
2022-03-17 00:52:16,91,6
2022-03-17 00:52:24,93,4
2022-03-17 00:52:26,93,2
2022-03-17 00:52:30,89,8
2022-03-17 00:52:35,88,2
2022-03-17 00:52:38,90,2
2022-03-17 00:52:39,93,1
2022-03-17 00:52:41,94,4
2022-03-17 00:52:44,94,1
2022-03-17 00:52:46,95,2
2022-03-17 00:52:47,95,1
2022-03-17 00:52:50,100,3
2022-03-17 00:52:52,100,2
2022-03-17 00:52:53,98,1
2022-03-17 00:52:56,98,3
2022-03-17 00:52:57,96,1
2022-03-17 00:53:01,96,4
2022-03-17 00:53:03,98,2
2022-03-17 00:53:04,100,1
2022-03-17 00:53:06,100,2
2022-03-17 00:53:07,98,1
2022-03-17 00:53:09,97,8
2022-03-17 00:53:16,94,1
2022-03-17 00:53:20,102,4
2022-03-17 00:53:22,104,2
2022-03-17 00:53:26,105,4
2022-03-17 00:53:28,104,4
2022-03-17 00:53:31,104,1
2022-03-17 00:53:35,107,4
2022-03-17 00:53:36,108,2
2022-03-17 00:53:39,112,2
2022-03-17 00:53:42,116,3
2022-03-17 00:53:44,117,2
2022-03-17 00:53:45,118,1
2022-03-17 00:53:47,117,2
2022-03-17 00:53:53,120,6
2022-03-17 00:53:55,119,4
2022-03-17 00:54:00,120,3
2022-03-17 00:54:02,122,2
2022-03-17 00:54:06,121,4
2022-03-17 00:54:08,121,2
2022-03-17 00:54:09,120,1
2022-03-17 00:54:11,120,1
2022-03-17 00:54:21,112,6
2022-03-17 00:54:28,109,4
2022-03-17 00:54:36,109,6
2022-03-17 00:54:38,108,2
2022-03-17 00:54:41,108,3
2022-03-17 00:54:46,105,5
2022-03-17 00:54:48,101,2
2022-03-17 00:54:49,103,1
2022-03-17 00:54:51,94,8
2022-03-17 00:55:01,91,4
2022-03-17 00:55:03,92,2
2022-03-17 00:55:06,92,3
2022-03-17 00:55:08,93,2
2022-03-17 00:55:11,93,3
2022-03-17 00:55:13,95,2
2022-03-17 00:55:16,95,3
2022-03-17 00:55:18,95,8
2022-03-17 00:56:00,93,92
